Department,Year 2013-14,Grants Description,"Amount (£,000s)",Grant Category,End Recipient,No. of Recipients
BIS,2013-14,Grant to the UK Research Councils to fund high quality research,2915000,Grant In Aid,Public Sector,7250
BIS,2013-14,"Grant to HEFCE to fund teaching, research and knowledge transfer ",4718000,Grant In Aid,Voluntary Sector ,250
BIS,2013-14,Grant to the SFA to fund Further Education Colleges and other training providers,4400000,General Grant,Private Sector and Voluntary Sector,1440
BIS,2013-14,Grant to the TSB to support the commercialisation of knowledge and research,496000,Grant In Aid,"Private Sector, Public Sector and Voluntary Sector  ",5000
BIS,2013-14,Grant to the Student Loans Company to provide support to eligible students ,1816000,Intermediated Grant,Private Sector and Individuals,750000
BIS,2013-14,Grant to the UK Commission for Skills and Employment to promote skills ,60000,Intermediated Grant,Private Sector and Individuals,NA
BIS,2013-14,Grants to support Industrial Strategy,102000,Ad Hoc,Private Sector,NA
Cabinet Office,2013-14,Project Grant to operate Do-It Volunteer programme to Youthnet,239,General Grant,Voluntary Sector ,1
Cabinet Office,2013-14,Communication and Recruitment for National Citizen Service Management Body to Transition IMB ,1307,General Grant,Voluntary Sector ,1
Cabinet Office,2013-14,Bridging grant for National Citizen Service Management Body to Transition IMB,551.588,Ad Hoc,Voluntary Sector ,1
Cabinet Office,2013-14,Local giving fundraising campaign - The Ardbrack Foundation,500,General Grant,Voluntary Sector ,1
Cabinet Office,2013-14,Big Society Awards - Society Network Foundation,150,General Grant,Voluntary Sector ,1
Cabinet Office,2013-14,Investment and Contract Readiness Fund - Social Investment Business,6744.679,Intermediated Grant,Voluntary Sector ,Unknown
Cabinet Office,2013-14,Structural Support grant to Social Firms UK,14.75,General Grant,Voluntary Sector ,1
Cabinet Office,2013-14,Strategic partners transition programme grant to School for Social Entrepreneurs,157.5,General Grant,Voluntary Sector ,1
Cabinet Office,2013-14,Structural Support grant to Social Enterprise UK,41.8,General Grant,Voluntary Sector ,1
Cabinet Office,2013-14,Fund candidate to Clore Social Leadership Programme,35,General Grant,Voluntary Sector ,1
Cabinet Office,2013-14,"Support for work to develop voluntary and communications sector management skills, 3rd Sector",125,General Grant,Voluntary Sector ,1
Cabinet Office,2013-14,Innovation Fund - NESTA,4000,Intermediated Grant,Voluntary Sector ,Unknown
Cabinet Office,2013-14,Innovation In Giving Fund - NESTA,2000,Intermediated Grant,Voluntary Sector ,Unknown
Cabinet Office,2013-14,Challenge Prizes - NESTA,218.786,General Grant,Voluntary Sector ,1
Cabinet Office,2013-14,VCSE Masterclasses grant to NCVO,156.052,General Grant,Voluntary Sector ,1
Cabinet Office,2013-14,Compact Voice grant to NCVO,363,General Grant,Voluntary Sector ,1
Cabinet Office,2013-14,Strategic Partners Transition Programme grant to NCVO,500,General Grant,Voluntary Sector ,1
