Funding Org:Name,Grant Programme:Code,Grant Programme:Title,Aims and objectives,Value per year,Start Date,End Date,Duration Numeric,Allocation Method,Recipient Sector,COFOG L0 Long Name
Cabinet Office,SCH-000003487,Chequers Grant in Aid,Chequers Grant in Aid,"702,972",01/09/15,31/08/16,1,General Grants - Criteria Based,Private,1. General public services
Cabinet Office,SCH-000002823,Futurebuilders,n/a,"1,464,860",01/04/15,31/03/16,1,General Grants - Competed; General Grants - Un-competed,Civil Society,1. General public services
Cabinet Office,SCH-000003068,One Public Estate,,"6,647,500",01/04/15,31/03/16,1,General Grants - Competed,Local Government,1. General public services
CLG Local Government,SCH-000003156,New Homes Adjustment Grant 2015/16,,"32,362,000",01/04/15,31/03/16,1,Formula,Local Government,n/a
CLG Local Government,SCH-000003157,Safety Net 2015/16,,"1,417,000",01/04/15,31/03/16,1,Formula,Local Government,n/a
CLG Local Government,SCH-000003158,BRR Top-Ups 2015/16,,"2,554,834,000",01/04/15,31/03/16,1,Formula,Local Government,n/a
CLG Local Government,SCH-000003159,BRR Tariffs 2015/16,,"-2,554,834,000",01/04/15,31/03/16,1,Formula,Local Government,n/a
CLG Local Government,SCH-000003152,COUNCIL TAX BENEFIT - NEW BURDENS 2015/16,,"12,500,000",01/04/15,31/03/16,1,General Grants - Criteria Based,Local Government,n/a
CLG Local Government,SCH-000003164,Dilnot & Deferred Payments 2015/16,,"285,000,000",01/04/15,31/03/16,1,General Grants - Criteria Based,Local Government,n/a
CLG Local Government,SCH-000003165,Independent Living Fund 2015/16,,"140,100,000",01/04/15,31/03/16,1,General Grants - Criteria Based,Local Government,n/a
CLG Local Government,SCH-000003168,Retail Relief 2015/16,,"143,911,000",01/04/15,31/03/16,1,Formula,Local Government,n/a
CLG Local Government,SCH-000003169,Business Rates 2% Inflation Cap 2015/16,,"169,471,000",01/04/15,31/03/16,1,Formula,Local Government,n/a
CLG Local Government,SCH-000003170,Reoccupation Relief 2015/16,,"5,355,000",01/04/15,31/03/16,1,Formula,Local Government,n/a
CLG Local Government,SCH-000003171,Small Business Rates Relief on Second Propert 2015/16,,"1,981,000",01/04/15,31/03/16,1,Formula,Local Government,n/a
CLG Local Government,SCH-000003160,Localising Council Tax Admin Subsidy 2015/16,,"67,700,000",01/04/15,31/03/16,1,General Grants - Criteria Based,Local Government,n/a
CLG Local Government,SCH-000003188,New Empty Build Relief 2015/16,,"4,417,000",01/04/15,31/03/16,1,Formula,Local Government,n/a
CLG Local Government,SCH-000003193,Safety Net Outturn Payments 2015/16,,"110,214,000",01/04/15,31/03/16,1,Formula,Local Government,n/a
CLG Local Government,SCH-000003194,Disregarded Amounts Reconsiliation payments 2015/16,,"4,006,000",01/04/15,31/03/16,1,Formula,Local Government,n/a
